karl-anthony-towns,2019,2018-19,29.5,15.0,4.1,62.2,12.9,11.9,28.8,20.0,2019-20,31.2,12.7,5.2,64.2,15.5,11.2,28.8,16.8
kemba-walker,2021,2020-21,24.2,5.0,6.2,55.9,20.4,8.4,26.5,0.1,2021-22,18.2,4.7,5.5,53.7,22.6,8.3,21.3,0.1
kent-bazemore,2021,2020-21,14.4,6.9,3.2,56.4,17.5,13.3,15.9,0.2,2021-22,9.7,5.1,2.5,45.1,16.9,10.4,12.9,0.1
kentavious-caldwell-pope,2020,2019-20,14.6,3.2,2.5,58.4,15.3,8.6,14.7,4.4,2020-21,13.7,3.8,2.7,58.8,17.0,8.8,14.0,0.1
kevin-durant,2019,2018-19,30.0,7.4,6.8,63.1,20.0,9.8,29.1,9.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kevin-love,2019,2018-19,25.0,16.0,3.2,56.1,11.3,9.9,27.1,22.2,2019-20,22.2,12.3,4.0,59.9,15.6,12.3,23.4,17.1
kevon-looney,2019,2018-19,13.5,11.3,3.3,63.6,21.7,9.0,13.0,15.0,2019-20,10.4,10.1,3.1,40.3,17.2,10.3,15.7,13.6
khris-middleton,2019,2018-19,23.5,7.7,5.5,55.8,18.7,9.9,25.1,9.8,2019-20,28.0,8.2,5.7,61.9,18.3,9.5,26.3,10.2
klay-thompson,2019,2018-19,25.3,4.5,2.8,57.1,10.5,6.5,24.7,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kristaps-porzingis,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20,25.7,11.9,2.2,55.1,8.2,7.4,26.3,15.6
kyle-anderson,2018,2017-18,11.8,8.0,4.1,58.2,25.3,11.8,13.8,11.1,2018-19,10.8,7.8,4.0,56.9,26.1,11.8,13.1,11.0
kyle-kuzma,2021,2020-21,17.9,8.5,2.6,54.6,12.2,10.9,19.7,0.2,2021-22,20.5,10.2,4.2,54.7,16.2,11.8,23.5,0.2
kyle-lowry,2021,2020-21,19.8,6.2,8.4,59.3,29.9,11.1,22.6,0.1,2021-22,15.8,5.3,8.9,60.0,35.2,12.5,19.8,0.1
kyrie-irving,2019,2018-19,28.8,6.1,8.4,59.2,23.4,8.7,30.4,8.1,2019-20,33.3,6.3,7.8,59.5,20.0,8.1,33.3,8.1
lamarcus-aldridge,2021,2020-21,9.85,3.7,2.0,30.55,9.0,4.85,9.75,4.7,2021-22,23.1,9.8,1.6,60.4,7.1,7.5,21.1,0.2
lebron-james,2021,2020-21,29.9,9.2,9.3,60.2,24.1,11.6,32.6,0.2,2021-22,32.5,8.8,6.7,61.9,18.2,10.2,31.7,0.2
lonzo-ball,2021,2020-21,18.4,6.0,7.2,55.1,27.1,10.5,21.7,0.1,2021-22,15.0,6.3,5.9,57.5,27.2,12.5,17.7,0.1
lou-williams,2021,2020-21,9.45,2.0,3.2,24.9,11.15,5.8,12.4,2.7,2021-22,17.7,4.4,5.3,50.0,20.9,8.6,21.8,0.1
malik-beasley,2020,2019-20,12.55,3.05,1.15,29.55,4.6,3.6,10.25,3.35,2020-21,23.9,5.3,2.9,57.0,11.2,7.7,23.3,0.1
marcus-smart,2018,2017-18,13.6,4.7,6.4,48.0,26.9,13.4,19.8,6.4,2018-19,12.9,4.3,5.8,56.8,30.1,11.5,15.6,5.7
mason-plumlee,2020,2019-20,16.5,12.0,5.8,61.3,26.0,13.8,19.1,16.8,2020-21,15.5,13.8,5.4,63.8,26.5,13.8,17.0,0.3
mike-conley,2021,2020-21,22.1,4.7,8.1,58.9,27.6,8.9,24.3,0.1,2021-22,19.2,4.2,7.5,57.2,28.1,9.0,21.9,0.1
montrezl-harrell,2020,2019-20,26.8,10.2,2.4,60.7,9.1,9.1,25.1,13.2,2020-21,23.6,10.8,1.8,65.0,8.5,8.6,20.7,0.3
myles-turner,2019,2018-19,18.6,10.0,2.2,56.7,10.6,9.2,19.4,13.9,2019-20,16.4,8.9,1.6,56.6,8.8,10.4,17.1,12.2
nicolas-batum,2021,2020-21,11.8,6.9,3.2,61.7,23.2,8.3,12.0,0.2,2021-22,13.4,6.9,2.7,60.8,18.4,7.4,13.1,0.2
nikola-jokic,2018,2017-18,22.7,13.2,7.5,60.3,25.2,11.6,24.9,18.5,2018-19,25.6,13.8,9.3,58.9,26.5,11.3,29.4,18.7
nikola-vucevic,2019,2018-19,26.5,15.3,4.9,57.3,16.0,8.3,27.9,20.5,2019-20,24.3,13.5,4.4,54.9,15.7,6.2,25.9,18.1
norman-powell,2021,2020-21,9.9,1.9,1.1,28.8,5.25,4.25,9.95,2.65,2021-22,17.1,2.25,2.25,34.1,7.05,3.5,14.45,2.7
pascal-siakam,2020,2019-20,26.0,8.3,3.9,55.4,13.0,9.3,27.4,11.0,2020-21,23.8,8.1,5.0,54.7,17.0,8.8,26.0,0.2
pat-connaughton,2020,2019-20,11.6,9.1,3.4,56.5,22.4,10.9,12.5,11.3,2020-21,11.9,8.4,2.1,57.8,15.6,6.4,11.5,0.2
