Name,Point40Before,Point40After,Point40Change,Rebound40Before,Rebound40After,Rebound40Change,Assist40Before,Assist40After,Assist40Change,USGBefore,USGAfter,USGChange,ContractYear,ContractTotal,AveragePay,ContractLength,LargeContract,SeaonsLength,PerformanceBefore,PerformanceAfter,changePerformance,ChangeTeam
Harrison Barnes,8.4,16.9,-8.5,3.25,5.7,-2.45,1.1,2.6,-1.5,11.4,17.2,-5.8,2019,"85,000,000.00","21,250,000.00",4,1,9,12.7,13.3,0.6,1
Hassan Whiteside,21.5,18.4,3.1,15.8,17,-1.2,1.5,0.9,0.6,22.2,16.2,6,2021,"2,401,537.00","2,401,537.00",1,0,10,19.3,23,3.7,1
Ivica Zubac,9.3,18,-8.7,7.65,16.4,-8.75,1.45,2.5,-1.05,9.85,16.3,-6.45,2019,"21,000,000.00","7,000,000.00",3,0,5,18.7,21.8,3.1,1
Jae Crowder,8.55,14.6,-6.05,3.85,6.8,-2.95,1.3,3.1,-1.8,7.55,15.4,-7.85,2020,"29,162,700.00","9,720,900.00",3,0,8,13.6,11.9,-1.7,1
Jamal Murray,22.9,23.9,-1,5,4.6,0.4,6,5.4,0.6,25.9,25,0.9,2020,"158,253,000.00","31,650,600.00",5,1,4,17.8,18.3,0.5,0
James Harden,39.3,37.6,1.7,7.2,7.2,0,8.2,8.2,0,40.8,36.5,4.3,2019,"171,131,520.00","42,782,880.00",4,1,11,30.6,29.1,-1.5,1
Jarrett Allen,8.7,20,-11.3,6.55,13.3,-6.75,1.1,2,-0.9,8.25,17.4,-9.15,2021,"100,000,000.00","20,000,000.00",5,1,4,20.4,23,2.6,1
JaVale McGee,8.25,23.2,-14.95,7.9,16.9,-9,0.7,1.4,-0.7,10.4,21.3,-10.9,2021,"5,000,000.00","5,000,000.00",1,0,14,15.8,22.7,6.9,1
Jaylen Brown,24,28.6,-4.6,7.5,6.9,0.6,2.4,3.9,-1.5,24.1,29.1,-5,2020,"106,333,334.00","26,583,333.50",4,1,5,17,19.9,2.9,0
Jayson Tatum,29.6,30,-0.4,8.2,8.9,-0.7,4.8,4.9,-0.1,30.5,31.2,-0.7,2021,"163,000,300.00","32,600,060.00",5,1,4,21.3,21.8,0.5,1
Jeremy Lamb,21.5,17.9,3.6,7.7,6.2,1.5,3.1,3,0.1,22.2,19.2,3,2019,"31,500,000.00","10,500,000.00",3,0,9,17.4,14,-3.4,1
Jimmy Butler,11,23.6,-12.6,3.2,7.9,-4.7,2.4,7.1,-4.7,11.7,25.7,-14,2019,"140,790,600.00","35,197,650.00",4,1,10,20.7,23.6,2.9,0
Joe Harris,18.8,18.2,0.6,5.6,4.6,1,2.7,2.4,0.3,18.1,15.6,2.5,2020,"75,000,000.00","18,750,000.00",4,1,6,13.4,14.1,0.7,0
Joe Ingles,17.3,11.6,5.7,5.2,4.7,0.5,6.8,5.6,1.2,17.8,14.2,3.6,2021,"13,036,364.00","13,036,364.00",1,0,7,15.9,10,-5.9,1
Joel Embiid,30.2,32.7,-2.5,14.4,16.2,-1.8,4.2,4.3,-0.1,31.8,32.7,-0.9,2018,"25,467,250.00","5,093,450.00",5,1,7,22.9,26.1,3.2,1
John Collins,24,21.1,2.9,10.1,10.2,-0.1,1.7,2.4,-0.7,21.3,19.6,1.7,2021,"125,000,000.00","25,000,000.00",5,1,2,20.7,18.7,-2,0
John Wall,24,25.6,-1.6,4.2,4,0.2,10.1,8.5,1.6,30.2,32,-1.8,2019,"171,131,520.00","42,782,880.00",4,1,11,18,15.4,-2.6,1
Jonas Valanciunas,14.4,22.6,-8.2,7.7,17.1,-9.4,1.55,2.8,-1.25,12.35,21.1,-8.75,2019,"45,000,000.00","15,000,000.00",3,0,9,24.5,22.3,-2.2,1
Jordan Clarkson,12.6,27.5,-14.9,2.25,6,-3.75,1.25,3.7,-2.45,13,29,-16,2020,"51,520,000.00","12,880,000.00",4,1,7,17.6,17.2,-0.4,1
Josh Hart,12.9,12.4,0.5,11.2,3.35,7.85,3.2,2.7,0.5,13.8,12.45,1.35,2021,"37,920,000.00","12,640,000.00",3,0,4,12.2,15.2,3,0
Jrue Holiday,21.9,22.2,-0.3,5.6,5.5,0.1,7.5,8.3,-0.8,23,24.4,-1.4,2021,"134,997,333.00","33,749,333.25",4,1,11,20.1,19.8,-0.3,0
Julius Randle,28,24,4,11.4,12,-0.6,4.1,3.8,0.3,27.6,27.8,-0.2,2019,"62,100,000.00","20,700,000.00",3,0,7,20.9,17.5,-3.4,0
Justin Holiday,13.2,13.9,-0.7,5.2,4.7,0.5,2,2.2,-0.2,13.1,13.5,-0.4,2020,"18,019,260.00","6,006,420.00",3,0,8,12.1,10.5,-1.6,0
Justise Winslow,14,8,6,9.3,4.7,4.6,3.9,2.15,1.75,21.8,10.15,11.65,2021,"8,000,000.00","4,000,000.00",2,0,6,6.3,12.5,6.2,1
Jusuf Nurkic,21.7,22.8,-1.1,13.6,15.2,-1.6,2.7,4.7,-2,25.1,25.2,-0.1,2018,"48,000,000.00","12,000,000.00",4,1,7,19.3,23.4,4.1,0
Karl-Anthony Towns,29.5,31.2,-1.7,15,12.7,2.3,4.1,5.2,-1.1,28.8,28.8,0,2019,"158,253,000.00","31,650,600.00",5,1,6,26.3,26.5,0.2,1
Kelly Oubre Jr.,20.1,22.8,-2.7,7.8,6,1.8,1.7,1.7,0,20.6,21.8,-1.2,2021,"24,600,000.00","12,300,000.00",2,0,6,13.4,15,1.6,1
Kemba Walker,24.2,18.2,6,5,4.7,0.3,6.2,5.5,0.7,26.5,21.3,5.2,2021,"17,894,491.00","8,947,245.50",2,0,10,17.7,14,-3.7,1
Kent Bazemore,14.4,9.7,4.7,6.9,5.1,1.8,3.2,2.5,0.7,15.9,12.9,3,2021,"2,401,537.00","2,401,537.00",1,0,9,10.7,6.1,-4.6,1
Kentavious Caldwell-Pope,14.6,13.7,0.9,3.2,3.8,-0.6,2.5,2.7,-0.2,14.7,14,0.7,2020,"39,116,585.00","13,038,861.67",3,0,8,11,10.7,-0.3,0
Kevin Durant,30,32.6,-2.6,7.4,8.5,-1.1,6.8,6.7,0.1,29.1,30.8,-1.7,2019,"164,255,700.00","41,063,925.00",4,1,14,24.2,26.4,2.2,0
Kevin Love,25,22.2,2.8,16,12.3,3.7,3.2,4,-0.8,27.1,23.4,3.7,2019,"120,402,172.00","30,100,543.00",4,1,13,19.5,17.9,-1.6,1
